audiocap_id,youtube_id,start_time,caption
97746,w5xqAI6Ev40,20,Clanking followed by a toilet flushing and then some more clanking
12830,4BwQL9lW7A4,1,A vibrating noise
8549,2Qh9AFPNq50,8,A dog is barking people are talking
12836,4C6JkAoRyVk,0,A horse neighs and birds chirp outside
12834,4C4dfeDruIw,10,A person snoring
8541,2QTH4_WQlgg,0,A toilet flushes and then woman laugh in the background
92260,rsfXfpnLfeE,29,Frogs croaking and chirping
92265,rswivgQdpFA,10,A child and man speak then whistle
53634,R8z8J9klk70,0,A camera is shuffled and a clang occurs
54304,RbrSbC-bGY0,20,Wind blows and birds tweet
55621,SUF1l9xmZ-A,30,An engine revs very close by and then idles rickety
22676,8j6uc8DEzWA,0,A man is speaking and loud bangs happen
22674,8j5gWsCQ3_4,19,A woman speaking and crowd cheering
22672,8ixP67tAOXs,0,Vehicles are racing by at a fast speed
22673,8j-jFjOn_4A,0,Wind is blowing and woman is laughing
16884,5yAnVjPDShU,29,Sirens ring out and cars speed by in the background
8295,2KLSmeAXUHU,15,An engine is revving up
15550,5MIXgA43C0M,4,"People speak, some splashing and clapping followed by laughing"
46132,MDW5VlmaGjA,0,A vehicle engine revving and accelerating while driving by
390,-8sR1D7oCic,7,A race vehicle is accelerating its engine
3746,0UlXhWYb9Js,0,A whistle blows then a car comes and passes very fast
3747,0UlaI-oeITg,19,The cars are passing by
3745,0Ukop25AhEc,0,A loud long burp is followed by a laugh
3743,0UjUkHszzZ4,320,An adult male speaks and a medium vehicle engine starts up
99859,xiEIyeo6R7o,30,A vehicle engine slowly accelerates
58708,UcYa-1k0Nvc,0,Steam following by a slide whistle
99856,xi7oWgo-wqM,0,High pitched screeching followed by rustling and some croaking
78247,hUViJ9zgHKw,30,Something squeals in protest and then something is clanked
60015,VWLLeNYvxII,30,Paper crackles nearby as it is manipulated
60010,VWBLKuEA6EY,5,A vehicle engine is accelerated and a man speaks
60013,VWKCKIx5vAA,30,Water dripping and gurgling
68744,aad-tAx1DU0,13,A machine works
73334,dtkT2VYNgXA,40,Birds chirping and a person whistling
99011,x2ZyKE89nzw,0,"A child breathes hard, coughs, and then cries"
21930,8MvVwaGPKnI,10,"Birds are chirping, crickets are chirping, rustling occurs, and an adult male speaks"
21932,8MzdJUn9n8U,6,A car starts up and is revved
21934,8N0pMDO4hsQ,0,"Approaching vehicle with blowout, birds in background"
21936,8N5c7JZmKGs,30,"Traffic is audible, a motor vehicle passes by, and slight clicking occurs"
21937,8N5eETeI8Z0,17,"A child cries, a woman speaks, cat shrieks and the child cries more"
57087,TVdAI0xaU8s,0,Crackling followed by an explosion
57086,TVWqe2XM0o8,20,Men speak with splashing water
57080,TVDvmHlcGm0,0,A door opens up nearby
57088,TVdoDP96590,12,High pitched whistling following by low whistling
19970,7P8x9GIvRJA,30,A woman is narrating in a foreign language
16709,5siQ3K31KeI,10,"Sewing machine going, then stopping and starting up again"
16708,5siKASaXYTU,0,Numerous background noise of people and animals that end with an animal bellowing
6818,1iiFj83VI7M,0,"Squeaking occurs, two females speak and laugh, and a hoofed animal walks by"
19975,7PKDrv5WP9o,18,A dog barks in concert with rhythmic thumping
6810,1iXLWRFE000,30,An engine is idling
6812,1iaEDqdYliE,14,A man is speaking and cars are speeding by
6817,1ihBVEOfaVE,0,Birds chirping and people speaking
6816,1ih1mXowz1U,0,An animal is stomping its feet
9755,2vNfb9JmJcQ,13,A loud clicking and shuffling occurs
9753,2vKxkciAFaM,9,"A dog pants, shuffles and barks"
9751,2vIXsl6gICw,30,Loud engine attempting to get started
9750,2vHhaU0k_4k,30,The ticking and chiming of a clock
38384,HDkT9w96tnY,50,"A musical instrument bleeps, and then a machine beeps loudly several times"
9759,2vTVb3LhxXE,210,Clanking of dishes in the background while an older man speaks
9758,2vTS31IeyOY,7,Papers rustling
24146,9SwqisZFZr8,30,Television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
24144,9SvCis6IdgU,26,"Man laughing and talking, whistle and engine revving"
24145,9SwGzhspGIs,30,A woman speaking followed by a baby cooing
24142,9Sn8mlDZ0zs,17,Wind blowing in a microphone and a group of people talking
24141,9SkN9u22uhE,70,Engine idling quietly with light wind
86938,nrbgVzLPpdQ,10,Vehicles pass and the wind blows
80590,jCTsyQRkwhg,15,An idle vehicle engine followed by a musical horn honking then a truck accelerating
58398,UOdw1xsTQFU,25,A bell rings and a train passes nearby
59952,VTuEzCUFTdE,0,Clanging sound then a toilet flushing
58938,Umyx9TCiAS0,10,Someone is snoring softly and there is a light static and a voice in the background
58939,UmzfsnxjAVk,90,Typing on a computer keyboard followed by a man speaking then plastic cranking
58262,UJ-2WuTunkE,170,A man talks and types on a keyboard
33755,EPSPjAR8ztY,30,A crowd applause loudly nearby as a person talks in the distance
33754,EPNr68hknvw,30,"In a quiet environment, an adult male is speaking"
100194,xzMxL-HwhFw,50,Several birds tweet while a man talks
93968,tC9f6uvVKZc,18,An emergency siren powering down followed by audio hissing and muffled metal clanging
49822,ObnqwJxrbcI,30,Some laughs lightly
68344,aIi_i_Bt510,50,A vehicle engine idling
68340,aIS31DyFpDg,210,A car accelerates and skids
68343,aIbQ6eQ67GA,400,A man speaking with a distant boom of a jet engine
67376,_b_dv4jK9vI,30,Humming and sputtering of an idling engine revving
88984,pOwNRM3BM_w,30,Water running continuously
94334,tTvvPOTmImA,570,Click clack then bell ringing
76163,g06QT0gUKvo,30,A machine runs rapidly
30224,CUlxjccLpXc,30,An idling car revs the engine
76160,g-uqyDcbnA4,20,Wind blowing followed by wood cracking
30222,CUl0CDciflY,10,A motorcycle passes by and then a man talks as the motorcycle starts to come back
49165,O9xjy2_DUL8,110,"A small motor run, something beeps, and then metal hits metal"
30223,CUlUUdmljb0,30,Static in the background while a child snores rhythmically
92603,s8zWOWalXy4,30,Rail car noises and horn start to fade into the distance
30221,CUiajtjBXHM,30,Air rushing followed by a couple of sneezes
100244,y0xkMQzZACI,30,Water runs and bells ring while wind blows and a goat bleats
44800,LLQUwiWyzZc,120,A rustling sound and a brief tapping and drumming
91219,r5s_IAgFiKo,550,Birds tweet while a ball is played
91211,r5WtQCGp1WI,60,"Electronic beeps occur, concurrent with an adult male speaking"
35218,FGc9Zt1MXng,0,A child laughs loudly and a man shouts
35215,FGLzoiXAqEI,100,A large bell rings
35210,FGAg5PGzfu8,6,Young child crying and woman speaking
101941,zNasu_05xaI,0,An infant crying followed by a woman giggling
23266,90ysqz1zb0Q,30,A vehicle is accelerating
23265,90wcPsxr4H4,30,A man speaking as music plays then suddenly two explosions
23262,90q27wRwb9k,550,Several motorcycles race with engines humming and wind blowing
23269,912ulwC5d6M,25,A baby crying and breathing
39503,HvTYMLSRBoY,0,Loud wind noises with someone talking and laughing
94331,tTmvQdMfLuI,30,A man speaks and then wind blows and a woman speaks
9256,2i65tU46rDA,30,A woman is speaking loudly
23753,9GBuJ_AvHOE,30,Leaves blowing in the wind
29670,CB_L70p00mE,30,A sustained and continuous spraying sound
9255,2i2RLHiezds,30,A man delivers a speech
10707,3JIEw_2vKiQ,21,"Loud vibrations of a car idling and revving, it stops"
10706,3JGsZLRU-kc,40,A water faucet is running then turned off
6776,1hj7HqQH4AA,30,A woman is speaking
6773,1hXLW_zsmZg,30,Bell ringing continuously
49569,ORl0KaeGVzk,26,"A young child cries, and adult female speaks, and the child continues to sob and speak"
92748,sGEWDm1-RdY,20,A toilet flushes and a door opens
23756,9GItwgXOOYc,30,Clanking followed by a man speaking and a bang
23757,9GNe9_gjj6g,10,A buzzing followed by a bee flying
84221,ls12kzqkX0s,0,Birds chirping and insects buzzing while wind blows in a microphone
88554,p4kT-YyyU90,30,Man speaking and a motor running
32607,Dked9VwV5gw,30,A woman speaking continuously
84228,lsMJF_pH7DI,30,A machine works away
42811,K2VEwu7vG8k,30,An infant cries with low talking and fan noise in the background
19095,6zzDOFmpHRY,20,"Water is splashing and gurgling, and an adult male begins to speak"
42815,K2aCJSsrT9k,9,"Static crackles, a person speaks in a distorted way, and water flows"
85674,mvmLUf3f7ZE,30,Motor along with gurgling
5058,10Wz3WLOowg,80,A woman sneezing and sniffling and complaining
5054,10R2yQUbKzc,30,Large vehicle engine and woman's faint speech
5056,10SZFHfWSz4,10,"Roaring is present, an emergency vehicle siren sounds, and then machine gun fire and more roaring"
5057,10Vv0X2_n6Q,8,A roar of a large vehicle as it approaches while a person screams something as the vehicle speeds away
5050,10ILs3Dvgds,10,Someone is talking while someone is snoring
5051,10IhJop-JE4,50,Power tools run
5052,10MRxp2q8R4,30,Female speaker giving a speech
5053,10OItSnDWd0,20,A man is talking and a whoosh is heard
98497,weLUPbinxPo,30,Two women talking and laughing followed by a door banging softly as a door creaks repeatedly
38561,HKOyrFuHsnI,0,Water streaming and dripping on a surface with vehicles passing by in the background
38566,HKgby13GaZM,60,Humming of a loud engine of a hovering helicopter
70130,baVWqtuSAno,0,A desk bell is rung and echoes
70131,baWqKKc3RVU,50,Uproarious laughter is coming from a few women
18892,6uGzPWpYqW8,20,A bird chirps in a hypnotic manner
18891,6uDv3CFjq2A,40,Ongoing stream running with faint children noises
18890,6uCq9iyudI4,110,A young man is speaking as a sink is filling up
18897,6uRL_wlWIxI,90,Birds chirping with a light banging in the background
18895,6uOmaZT3PRQ,20,Clicking on a computer keyboard
18894,6uN36JJR2Eg,170,A man speaking over a loud speaker and a helicopter flying by
18899,6uXUy9BOOus,12,Beeping of electronics
87299,o7Nra5Cw_jQ,20,A telephone bell rings
87291,o6uZQIMPhWE,21,Numerous number of frogs croaking
87294,o7-bm4FbUUU,0,Someone talks with voice on fast forward effect followed by a door opening
44223,Kxa7pvwyJPc,10,A bell chiming loudly three times
44222,KxZ-Uqn39Uw,470,Sink running and water dripping with male voice
36179,FsPM3qqt0yQ,30,An engine accelerating followed by brief silence
44226,KxjlxY0_hx8,30,A motorcycle moves and a man shortly laughs
44229,KxpklHRC7Lg,30,"A car accelerates loudly several times, followed by footsteps"
89949,q6pAgnS9BoU,10,A kid speaking followed by an insect buzzing
89941,q6WyuwZE3Lg,21,A truck engine revving then idling
18765,6pfYx5e-RvQ,30,The lady is giving a speech
18767,6pjIVseNWAI,140,Water splashed in a faucet as a man speaks
41540,JESA2AMiXkw,13,Multiple pigeons cooing
83637,lQPxJ3M0Ves,60,A baby is crying and then a man and woman are laughing.
83631,lQ6zTOCg1gw,30,"Someone types on a keyboard super fast, slowing down just once"
83630,lQ57gZs9b1E,14,A child speaks as vehicles pass by
71777,cnzMT0VuMcQ,2,A kid screams over and over and then another kid snorts like a pig
71778,co-rErLcFzg,0,A man speaks with some distant splashing and quacking ducks
8035,2DmtgJv97-U,30,A dog barks and whimpers
8034,2DmbPAlalPI,3,A horse clip-clops with other mild background noise
8032,2DfZ21h3rM4,3,A cat is meowing
8039,2DwotmImTsI,30,Waves crash against the shore
12583,457p8RcVeeM,30,Factory noise of production sprayer
12580,45-MIg6Ief4,30,Constant muffled ticking
12585,45ALOD20Dh0,30,"Cheering and screaming intensifies, followed by a man speaking"
12584,458hvFTiS4A,0,Rapid gunshots from an automatic gun
48123,NUqsl-em2FQ,0,"Children speak in the distance, followed by water gurgling nearby"
95960,ujXLco-8ivM,20,A motorcycle small engine revs from far away something crashes and people laugh
86659,nccXNavFApo,8,Some pigeons coo and flap wings
89496,plguiXCbQHg,27,Cats meow nearby multiple times
82966,kw9DDeloVxU,0,A person whistling
88725,pCpWuhqlI6A,0,A stream is flowing concurrently with nature noises
88728,pD741EDWwDM,25,An infant crying with a man speaking intermittley and some laughter
65063,Z0ZZrm77SMU,27,A few people talking with vehicle noise in the background followed by cheering and laughing
13980,4gkalNm_rFY,30,A man is speaking and a small motor is humming
75050,fAvlH8nziFc,12,A man speaks followed by a horn honking and more talking from the same man
63697,Y4lMAdRSxOk,17,Wind blowing with hissing and people speaking in the distance
69696,bGazZPvrAfQ,10,Deep laughing followed by a cat meowing and a man speaking
13679,4ZojMNkAmnE,40,"Birds are chirping, water is splashing, animals are bleating, and tapping occurs"
13671,4Za_oC4a438,0,Footsteps and then a door is slammed
13674,4ZdX1Hl6mhs,30,A dog and a man are howling together
16002,5ZQOxkKOS4Y,18,"The wind is blowing, insects are chirping, and rustling is present"
5864,1LU--8_VFeA,27,"A car speeds up, wind rushes by"
5866,1LXBrN5lJaI,0,A car starting outside
5861,1LQQS5NIPFI,25,Door sound with woman chuckling
5860,1LQBKRQtQHg,6,A baby starts with a faint cry and its get louder
17359,6AhDat_-Zdw,3,A high frequency vibration suddenly becomes lower frequency as it fade away in the distance
17355,6ATurT-AdAc,26,Baby is crying loudly while a woman is laughing and verbalizing something
17354,6AT29qrNRdA,12,A small motor is humming
17357,6AcL47SDN58,9,Bell ringing and a low ticking
17353,6AQLfSO8L5Q,0,"A man speaks then a horse neighs then a slap, a crash, and a car alarm"
90873,qpV8DLPsrxM,19,Traffic and car horns are in the background while an emergency vehicle blasts a series of sirens followed by wind and travel noise
90879,qpetEQ3taLY,10,Two male voices talking
60253,Vf-XWmYa8k0,10,A woman sings and a dog whines and pants
50273,OtA_FyCE9Pc,30,An animal snores mildly
19584,7D28hhaU9RU,30,A woman and man are having a conversation then a dog starts barking loudly
19582,7CyugpFwWr4,18,An engine idles and revs with people talking in the distance
19583,7D1GMWfKRRc,0,Wind is blowing hard and a man is speaking over the wind
19581,7CyP_SLbBTE,29,A clock is chiming in a high pitch and then an older man speaks
60787,W1r90vhczHM,30,Vibrations as a young girl cries and speaks and a woman speaks
20865,7pVFm2NULIY,30,A man delivering a speech followed by claps and another man speaking
20864,7pUe_uJ4zlI,30,Large engine sound with several gunshots
20863,7pUYXhg2INs,0,Tapping noises followed by livestock communicating
20862,7pUCEY5jzgw,5,A man delivering a speech before a large bang and laughter
45621,LsDbphDJ7nk,20,A motor vehicle runs by clicking a bit and speeding up
5937,1MxLu5GVvq4,14,Car motor revving
5936,1MvkvnEaWCg,5,The barking sound of a dog is heard with other animals there
5935,1MuDD4JVnQc,25,A child is crying then a woman speaks
64371,YX2DZ_iJdeM,24,Someone breathes heavily while sleeping
16111,5bJfToI-wYo,7,Ambient traffic noise and beeping
71531,cblvSlTyiqQ,6,A siren wails continuously
45636,Lsv7HQizztA,0,A car engine revs as it passes by
7944,2BjB6zejUyE,17,A gurgling stream
9190,2gTqxrutLBw,30,Liquid is pouring with a meta ling sound in the background
9195,2gasTsBjGD0,17,Engine running followed by tapping and speech
9197,2gdfn0Efqqs,30,Running engine idling
16915,5zQiVmdj6YY,8,People speak while a pig oinks
16917,5zUkaGz_150,23,Small dogs howling and barking with car alarm
16910,5zHmqPG09vQ,20,An engine operates on the water and a man speaks
97476,vvPsGYayQBM,0,Two men speaking with rusting in the background
12201,3uxCklJYQto,8,"Loud, fast-moving water"
90122,qE_cVGO1MXk,20,Some sheep bleat while some persons laugh
29359,C0s3qWFhItU,15,A vehicle motor is revved repeatedly
63251,XlDKrMcrGNU,17,A machine is running and then stops
10510,3DfM7lFy8b8,30,Birds are chirping and flapping their wings
10511,3DgK0TcqnU4,17,A loud car passes by
10514,3DiaKBcq8eo,18,"Wind blows, people speak and vibrations rattle"
8866,2ZG0bWsWv-Q,6,A door is closed
8865,2ZDNB3TiF7k,30,Two men are speaking to each other as cars pass by
21404,8621F0B0QAA,0,"A car engine is running, operating and vibrating followed by a honk"
21405,862FGBCm5JQ,0,A slide whistle is blown and a man speaks
8869,2ZOkYTE_3Ic,23,Men talking and a car driving off
26830,AkbeMorZff8,30,An engine running followed by revving
84637,mAGcH_Z5v_U,21,A man is speaking as sheep occasionally bleats
68637,aVkCOoCBCHo,280,A woman speaks while food fries in a pan
68633,aV_MbINdCrE,0,A toilet flushes with a great hiss
64377,YXKJot--ROM,50,A man and woman speak and water splashes
30419,CaARlo0W-WI,5,A phone is taken off the hook
102521,zpfBw5eMfEs,110,"A boat motor runs smoothly, wind is blowing, and two adult males speak"
96460,v8pZm_4rX4A,10,Water trickling and flowing on a surface while a woman is speaking
76623,gLT4o6a46I0,22,Loud siren gets closer and then gets further away with a faint city noise in the background
17884,6QJTjLvzCXg,40,A small insect buzzing around outside
90505,qXIYl4x6Tlk,20,A soft trumpet then a whir and a bubbling electric sound
76625,gLY6XE90pGU,20,"Bird flying sounds, followed by a robotic voice, and then the bird chirping and then a popping sound"
24579,9ge3gWbGXuc,14,Ducks quacking followed by laughed
24578,9gbDoAbvDD8,80,Birds chirping continuously
24575,9gWfeRVL_Zk,580,Crumpling and crinkling
24573,9gRG7ZAukX4,60,Toilet flushing water
24572,9gPDH1ns4Co,120,"Low frequency gunfire followed by a loud popping sound, while a man is talking"
24571,9gOI1_wEuPs,0,Continuous snoring
24570,9gCfNKhR3-g,30,A loud siren is sounding continuously
79726,iYdlrua9UmM,30,"Strong wind is blowing and water splashes faintly, followed by a mid-size motor vehicle engine revving once"
79720,iYMSuGqgrcM,0,A deep inhale followed by a burp
344,-7gC66Xp1iY,10,Motorcyle vehicle revving down
28403,BX8t852KOVk,20,A vehicle engine revving followed by an idle vehicle engine running
58553,UWXqWix7iYM,8,Coo cooing of a clock with ticks
28400,BX6ZQlcYiG8,30,"Wind sounds, followed by a man talking nearby"
79728,iYxGFiaOD-M,140,Rasping sound as plane rubs down wood
62128,X-FZzKUH4z8,10,A series of snoring sound with faint giggling in the background
19510,7B4rDyFBT_U,30,Multiple young puppies were crying and whimpering
34327,EiclIi8sIcc,0,A man speaks and an engine starts
34326,Eic1Hbf5fDs,40,A high pitched engine running consistently
34325,EiZyL1HM1FA,20,People are talking along with environmental noise
92831,sKTZvFef-WA,240,"Water running in a stream, followed by the crinkling and rubbing together of paper"
50337,OvjZomZu_eQ,200,A person talks nearby as pots clang and liquid falls into a pot
35059,FA-He0lOxZU,6,Whistle followed by steam hissing which leads to another whistle
92837,sKjCK49BWhI,0,A motor rumbling and running idle as steam and pressurized air hisses
90929,qs3mXlKfxLU,28,Continuous train horn
35051,F9f9caaxmm0,370,"Silverware clangs, and then a person talks nearby while chewing"
90928,qs3gjtxuHjk,30,A constant buzzing with voices in the background
95827,ucgdSYWs5gc,30,An engine vibrating and a woman speaks concurrently with a man speaking
92834,sKdmY3NQl4I,460,Rain falls and leaves rustle followed by the distant roar of thunder
346,-7uB0O_imb4,30,A horse is trotting. People are speaking
83473,lIqP2EiPl-Q,40,Continuous running water with clanking
90922,qrgKZEK7axA,140,Heavy wind followed by a vehicle starting and revving intermittently
50335,OvcGn_ScG5w,430,"Typing on a keyboard is occurring, and an adult male speaks briefly"
52626,QS8t1QDrxfo,130,A rooster crows and birds chirp followed by spraying and people speaking as music plays
93588,stOs68tihzw,30,A goat bleats nearby
23719,9F5bSydqGn0,40,A man snoring
23716,9F33jPz8wbw,30,A constant loud rustling in a microphone accompanies indistinct background speech of several persons
23714,9F-I2w19w7k,30,"Small background noises, then a deep cooing"
23712,9EwpOXBYtCo,30,A crowd applauds followed by a man speaking then laughter
23711,9EvJpP-gB1k,17,People talking while an engine is revved
59205,Uz-bzWfELCk,0,Several loud car engines accelerating and changing gears along with the squeal of tires
59201,UyxGR1juCss,0,Thunder explodes and gets softer
59200,UyoUwteU7pA,10,Male speaking then whistling followed by jubilant male voice
27009,ApQ_wrcfvvQ,30,"A large motor vehicle engine is operating and decelerating, an adult male speaks briefly, then an adult male speaks in the background"
27006,ApOoWgDCMvg,30,Sneezing after some sniffling
27007,ApPOUsJ11Xg,60,Wind and a female voice before a speed boat goes past
27004,ApMyWG-5x6M,20,An engine idles loudly
27005,ApO6Xssud_Q,120,High pitched drilling followed by rustling
27000,ApG8a3CGeaI,10,A baby laughs followed by a fart noise and more laughs
27001,ApGg3zigiBQ,26,A man speaks followed by a goat bleat and another man speaking
92187,rp0lfJFj59Y,20,Water is running softly out of a tap and a man is talking quietly
73605,e54LykS-Djk,30,"An adult male speaks and pauses, a crowd laughs, and the adult male continues to speak"
92182,rophVmEANcE,16,Some objects tap very low
73608,e5I67Fyqz_U,0,Clanking with intermittent beeping
68147,aAl9yiGxdfQ,90,"A man speaks, and then a toilet flushes, followed by the man continuing to speak"
55785,Sbb-Ssxiig4,0,Humming and vibrating followed by a flushing toilet
78926,hzFf55XeWC4,18,Traffic passes in the distance with goats bleating nearby
55780,SbJvrMGZUX4,30,Engine idling roughly
55781,SbO8HdCJnZA,30,Wind blows with faint coos of pigeons and traffic passing in the distance
98605,wk1SUIhqRbw,180,A woman speaks and pours out water
9940,3-bDwAIrVv4,260,Wind noise on ocean
9946,3-hTZdJ3ZC4,230,A saw is cutting through wood
9944,3-gngAAblb0,0,"Traffic hums in the distance a loud vibration followed by an explosion, two boys speak"
9945,3-h-5BTp3t8,30,Multiple loud booms followed by some explosions
9948,3-klPRTnm-k,230,A man speaking then a beeping noise
9949,3-p8O4-KtRg,370,A woman is talking and using a sewing machine
35589,FVNtJvdYJsk,30,"A man speaks into a microphone, a guitar plays, the audience laughs, and then a woman speaks"
56475,T4_a7bcS4cQ,30,People talking in a boat with a lot of water noise
33065,E-yD2CPQlX4,0,"A loud, continuous horn followed by an engine running"
57782,Tz2Hi4MDWV8,30,The entire time a loud static sound is joined with a constant clicking
32059,DTY2lVShT7Y,30,Chirping as well as continuous running water
55877,SfmgU0bQP3Y,50,Clinking then vibrating and humming as an engine struggles to start
56781,THqKbA1mr2c,390,A crowd of people applause loudly in the distance
56783,TI1TMz_zcQg,160,And infant coping with speech and some laughter
56782,THxDggBFCNc,590,A train passes and sounds a horn
56788,TIJPKRt1WJU,0,A short sudden burst followed by a laugh
27929,BInkqoDuaQk,30,Man speaking and noises in background
69134,aqgFdyfYsVI,0,A whoosh occurs twice
50742,PC9V-nNfa_Q,12,A door opens and closes nearby several times
41228,J1mtFhwORcA,80,"A man talks nearby, and then water pours in the distance"
21874,8L2M5UkB19Q,0,A man laughing at a vehicle passing by honking
21877,8L6AX8xepUI,19,A man burps and a baby cries then a woman speaks
21870,8KwqaI9PJuk,7,A crowd applauding and cheering
21873,8L05L2DQj3E,0,A door opening and then closing
21872,8L-uL3aIZnQ,0,People murmur an explosion occurs and the people laugh loudly
21879,8LKGUKp1VTs,140,"An appliance motor runs, clacking and humming occur, and an adult female is speaking"
99959,xnFeBledJGM,20,Water dribbles and splashes
99954,xn4AgQ3Ekrc,450,A train horn blows and alarm bells ring as heavy traffic passes by
99957,xnBOSgWl724,310,Water running and dripping with a man speaking softly
99956,xn5mGhUVfSs,30,"Steam hisses once followed by a whistle blowing twice, and then another steam hisses."
99951,xmxvQOpxIRQ,30,A train and train horn noise while people talking
64945,YwYqnCXdtaE,0,Vehicle revving racing engine then squealing tires with a man speaking distantly
99388,xLJW_Agl0Yk,30,"A motor runs continuously, getting quieter and then louder again"
75098,fDAErFAIneY,50,Several people talk while some object is rubbed
75092,fCrnwGE3lcg,4,A male voice talking on television when a kitten meows followed by a woman and then a child talking
44425,L5kE4HUlgcc,60,A woman speaks and a motorcycle engine revs
101986,zPfnakWAsIE,30,Rustling and faint groaning with water splashing and a person cheering
101984,zPfEtFBcgxk,30,Consistent repetitive ticking of a clock
101983,zPYptIfMDxE,30,"Passing traffic, and a car accelerating the engine and shifting"
53956,RMzuDWsctNo,6,"A boat motor operates and water splashes, coming closer and then fading into the distance"
101981,zPVSeGOujoo,16,"Speedboat motors are roaring in the foreground, and speech is occurring in the background"
57439,TkFolVOaRMI,60,A cat meows and something shuffles on a hard surface
53959,RN55fvwUsXU,160,An airplane engine spins loudly
36773,GDUP2Q48jNM,300,A machine engine running and hissing
101989,zPxkvJ_u10Y,270,A man speaks with birds chirping in the distance
101988,zPr4nfemZqI,300,A man talking before shouting then whistling followed by rustling
14668,4z5v63UY_jA,430,People speaking followed by impassioned applause
14669,4zCGF-4R-Ws,10,"The wind is blowing, a railroad crossing alarm clangs in the distance, and a train horn blows"
18569,6k0b_y_bly0,10,"A person speaks, some clanking with a baby laughing"
18568,6k-Z4LkDWGw,200,Music plays as a man speaks and helicopters pass by
14660,4yzHORWG2W8,30,Pigeons cooing and flapping their wings
18567,6jyesNi9GyQ,30,Person making a speech
18566,6jwQjR9xCMM,30,Ticking from a coo clock which then alarms
